"Name","Latitude","Longitude","Diameter (km)"
"Gilbert","-3.2","76.16","100.261882"
"Cabeus","-85.33","317.87","100.58375"
"Pitatus","-29.88","346.47","100.58375"
"Plato","51.62","350.62","100.744684"
"Ventris","-4.77","157.97","100.744684"
"Wilhelm","-43.21","339.06","100.905618"
"Milankovicv","77.2","168.8","101.066552"
"FridmanFriedmann","-12.48","233.12","101.38842"
"Yablochkov","60.78","127.58","101.549354"
"Doppler","-12.58","200.16","101.710288"
"Gartner","59.24","34.76","101.710288"
"Eotvos","-35.61","134.43","101.871222"
"Bolyai","-33.85","126.12","102.19309"
"Piazzi","-36.16","291.99","102.514958"
"Seyfert","29.26","114.34","102.675892"
"Casatus","-72.7","329.25","102.836826"
"Amundsen","-84.44","83.07","103.319628"
"Russell","26.51","284.45","103.319628"
"Saha","-1.69","103.04","103.319628"
"Wyld","-1.42","98.1","103.319628"
"Lundmark","-38.87","152.56","103.480562"
"Lamb","-42.67","100.94","103.480562"
"Fitzgerald","26.67","187.86","104.285232"
"Phillips","-26.57","75.67","104.285232"
"Langemak","-9.93","119.45","104.768034"
"Anderson","15.5","170.79","105.250836"
"Numerov","-70.52","197.8","105.41177"
"Buffon","-40.64","226.47","105.733638"
"Blancanus","-63.77","338.37","105.894572"
"Fizeau","-58.19","225.89","107.02111"
"VantHoff","61.75","227.32","107.342978"
"Minkowski","-56.13","214.2","107.503912"
"Scott","-82.35","48.52","107.82578"
"Ostwald","10.24","121.95","108.147648"
"Pascal","74.36","289.37","108.147648"
"LeviCivita","-23.34","143.14","108.308582"
"Hermite","86.17","266.68","108.63045"
"Repsold","51.31","281.59","108.63045"
"HGWells","40.84","122.63","108.952318"
"Maxwell","29.9","98.53","109.274186"
"Sternfeld","-19.75","217.73","109.756988"
"Charlier","36.22","228.31","109.917922"
"Scheiner","-60.35","332.19","110.078856"
"Helmholtz","-68.64","65.34","110.23979"
"Alphonsus","-13.39","357.15","110.561658"
"Kurchatov","38.3","141.74","110.883526"
"Alden","-23.51","111.11","111.366328"
"Gassendi","-17.55","320.04","111.366328"
"Stefan","46.33","251.23","112.170998"
"VanderWaals","-43.56","119.98","113.297536"
"Wiener","40.9","146.51","113.45847"
"Hommel","-54.74","32.93","113.619404"
"Kovalevskaya","30.86","230.56","113.780338"
"Rayleigh","29.12","89.45","113.780338"
"Gamow","65.29","144.65","113.941272"
"Hevelius","2.2","292.54","113.941272"
"Plaskett","81.63","176.71","114.26314"
"Moretus","-70.63","354.05","114.424074"
"Emden","62.76","183.49","114.585008"
"Lamarck","-23.12","289.94","114.585008"
"Purbach","-25.51","357.97","115.06781"
"Goldschmidt","73.04","356.63","115.228744"
"Phocylides","-52.79","302.69","115.228744"
"Maurolycus","-41.77","13.92","115.389678"
"Barnard","-29.79","85.95","115.711546"
"Kastner","-6.9","78.94","116.033414"
"Nansen","81.17","95.38","116.838084"
"Volta","53.9","275.23","117.159952"
"Thomson","-32.32","166.04","117.320886"
"Letronne","-10.5","317.51","117.642754"
"Xenophanes","57.49","277.99","117.642754"
"Riemann","39.38","87.18","117.803688"
"South","57.58","309.06","119.09116"
"Brouwer","-35.82","235.25","119.573962"
"Eddington","21.5","287.98","120.056764"
"Fracastorius","-21.36","33.07","120.539566"
"Orontius","-40.37","356.04","121.022368"
"Klaproth","-69.85","333.74","121.344236"
"Nernst","35.57","265.36","121.50517"
"Lebedev","-46.8","107.89","121.827038"
"Demonax","-78.09","59.36","121.987972"
"Hildegard","-51.68","127.74","121.987972"
"Darwin","-19.93","290.79","122.148906"
"Endymion","53.61","56.48","122.148906"
"Messala","39.31","60.06","122.470774"
"Weyl","15.97","239.47","122.792642"
"Michelson","6.72","238.45","123.11451"
"Chaplygin","-5.76","150.24","123.436378"
"Meton","73.57","19.63","124.72385"
"Leeuwenhoek","-29.28","181.13","125.045718"
"LeGentil","-74.27","283.98","125.367586"
"Sklodowska","-18.04","96.15","125.52852"
"Carnot","52.09","215.8","126.011322"
"Zwicky","-16.17","167.64","126.011322"
"Fleming","14.91","109.28","126.33319"
"Regiomontanus","-28.28","358.91","126.655058"
"Debye","49.43","183.97","126.976926"
"Paschen","-14.06","219.47","127.298794"
"Szilard","33.71","105.78","127.298794"
"Boussingault","-70.21","53.73","127.620662"
"Poynting","17.5","226.62","127.620662"
"Rontgen","32.88","268.58","128.425332"
"Aitken","-16.44","172.96","129.712804"
"Stebbins","64.36","217.36","129.712804"
"Avogadro","63.21","165.36","129.873738"
"Stofler","-41.24","5.93","129.873738"
"Albategnius","-11.24","4.01","130.839342"
"Cleomedes","27.6","55.5","130.839342"
"Langrenus","-8.86","61.04","131.96588"
"Hecataeus","-22.06","79.68","133.736154"
"Mee","-43.63","324.81","134.058022"
"Walther","-33.25","0.62","134.218956"
"Furnerius","-36","60.54","135.023626"
"DeLaRue","59.02","52.84","135.18456"
"Balmer","-20.27","70.22","136.311098"
"Abel","-34.63","85.78","137.276702"
"Brianchon","74.75","271.64","137.276702"
"Minnaert","-67.54","178.57","137.276702"
"Antoniadi","-69.3","186.94","137.920438"
"Curie","-23.05","92.28","138.886042"
"Fowler","42.59","214.73","139.529778"
"Mendel","-48.83","250.14","139.690712"
"Vendelinus","-16.46","61.55","141.139118"
"Pavlov","-28.28","142.4","143.070326"
"Hipparchus","-5.36","4.91","143.874996"
"Neper","8.76","84.58","144.357798"
"Pythagoras","63.68","297.02","144.518732"
"Hirayama","-6.01","93.63","145.162468"
"Blackett","-37.55","244.16","145.323402"
"JulesVerne","-34.85","147.28","145.484336"
"Longomontanus","-49.55","338.12","145.484336"
"Babbage","59.56","302.62","146.610874"
"Fersman","17.9","233.94","148.05928"
"Lyot","-50.47","84.8","150.634224"
"Sommerfeld","64.83","198.46","150.956092"
"Roche","-42.37","136.54","152.726366"
"Ptolemaeus","-9.16","358.16","153.69197"
"JHerschel","62.31","318.14","154.49664"
"Maginus","-50.03","354.02","155.623178"
"Riccioli","-2.9","285.58","155.623178"
"Hedin","2.87","283.43","157.393452"
"Ashbrook","-81.1","249.42","157.71532"
"Keeler","-9.78","161.78","158.037188"
"Lippmann","-55.43","245.68","159.968396"
"TsanderZander","5.39","210.31","159.968396"
"Drygalski","-79.57","272.82","162.54334"
"Hausen","-65.11","271.51","162.54334"
"Lagrange","-32.6","288.55","162.54334"
"Richardson","30.93","99.89","162.54334"
"Compton","55.86","104.05","164.15268"
"Heaviside","-10.44","166.77","164.15268"
"Struve","23.41","283.35","164.15268"
"Rowland","56.98","197.52","165.76202"
"Gauss","36.01","79.08","170.59004"
"WBond","65.41","3.52","170.59004"
"Joliot","25.79","93.39","172.19938"
"Vertregt","-19.3","171.12","172.19938"
"Grimaldi","-5.38","291.64","173.80872"
"Hilbert","-17.87","108.32","173.80872"
"Mach","18.13","210.76","175.41806"
"Chebyshev","-34.01","227.12","178.63674"
"Fabry","43.07","100.68","178.63674"
"Schiller","-51.72","320.22","178.63674"
"Einstein","16.6","271.35","181.85542"
"Mandelshtam","5.7","162.39","181.85542"
"Rozhdestvenskiy","84.99","202.11","181.85542"
"Petavius","-25.39","60.78","183.46476"
"Tsiolkovskiy","-20.38","128.97","185.0741"
"VonKarman","-44.45","176.25","186.68344"
"Zeeman","-75.07","224.94","186.68344"
"Humboldt","-27.02","80.96","199.55816"